timestamp,phase,active,reactive,current,freq,thd,voltage,hm0,hm1,hm2,hm3,hm4,hm5,hm6,hm7,hm8,anomaly
2025-02-16T12:20:10.113087,2.0,0.8,-0.8,0.4,49.97,37.1,239.9,75.3,96.0,51.6,264.5,338.6,547.9,90.0,289.7,480.7,False
2025-02-16T12:23:09.940779,0.0,1.5,-0.8,0.7,49.98,69.1,236.4,40.6,138.3,83.0,89.3,29.1,57.5,97.1,254.1,139.7,False
2025-02-16T12:23:10.054083,1.0,1.5,-2.3,1.1,49.99,32.5,238.2,110.0,221.9,108.5,185.6,273.3,168.6,90.6,313.9,201.6,False
2025-02-16T12:23:10.165206,2.0,2.3,-0.8,0.9,49.99,37.3,240.1,110.0,129.8,198.5,176.7,154.6,433.5,207.9,138.6,182.3,False
2025-02-16T12:26:09.944798,0.0,0.0,-0.8,0.5,49.99,69.7,236.2,41.3,127.5,146.4,78.4,156.1,120.9,291.8,369.7,214.6,False
2025-02-16T12:26:10.121433,1.0,2.3,1.5,1.1,49.98,33.8,238.1,110.0,138.0,193.0,125.8,252.1,306.1,212.5,315.9,343.2,False
2025-02-16T12:26:10.225430,2.0,1.5,-1.5,0.7,49.99,36.3,239.6,65.0,88.3,134.9,135.8,83.4,425.9,52.4,227.1,154.2,False
2025-02-16T12:29:09.941892,0.0,2.3,0.8,1.8,50.01,70.8,237.2,74.4,54.6,65.2,99.7,198.7,149.1,71.1,238.6,194.9,False
2025-02-16T12:29:10.041863,1.0,2.3,-6.1,2.3,50.02,30.8,238.9,101.5,111.3,65.6,38.9,121.3,108.3,112.4,160.7,154.2,False
2025-02-16T12:29:10.150186,2.0,3.8,-2.3,1.5,50.0,37.4,240.8,110.0,61.3,205.0,23.5,37.5,173.1,52.3,221.7,87.5,False
2025-02-16T12:32:09.944985,0.0,0.8,-3.8,1.4,49.99,69.7,237.4,110.0,130.9,108.5,116.5,213.1,248.6,96.0,182.3,279.2,False
2025-02-16T12:32:10.068332,1.0,1.5,1.5,1.1,49.97,33.7,239.3,45.6,57.3,58.8,99.7,72.5,94.2,56.9,30.4,100.2,False
2025-02-16T12:32:10.183403,2.0,2.3,0.8,1.0,49.99,39.3,240.9,42.6,39.2,44.3,79.7,38.1,107.9,84.8,38.9,111.3,False
2025-02-16T12:35:09.945389,0.0,1.5,-3.0,0.8,49.97,69.2,236.7,56.1,68.6,160.8,192.5,244.5,148.0,203.2,136.2,185.3,False
2025-02-16T12:35:10.061866,1.0,0.0,0.0,0.4,49.97,34.4,238.6,45.6,157.4,66.9,69.6,107.6,206.5,148.5,24.6,151.1,False
2025-02-16T12:35:10.166348,2.0,1.5,1.5,0.8,49.98,40.3,240.4,110.0,187.3,162.6,165.5,104.7,98.5,125.3,110.4,35.5,False
2025-02-16T12:38:09.946881,0.0,0.8,-0.8,0.2,50.0,69.9,237.5,29.2,204.1,306.0,238.2,241.8,309.4,316.2,334.7,498.5,False
2025-02-16T12:38:10.078379,1.0,0.8,-3.0,1.0,50.0,32.2,239.3,51.5,46.6,78.7,83.0,74.4,122.7,171.3,65.0,142.3,False
2025-02-16T12:38:10.209111,2.0,1.5,-2.3,0.8,50.0,38.6,241.1,41.8,38.0,57.1,54.2,69.4,77.8,45.4,78.5,90.2,False
2025-02-16T12:40:57.948262,0.0,1.5,-0.8,0.7,50.01,70.4,237.5,65.4,86.0,118.1,94.7,52.7,157.0,134.0,68.9,175.5,False
2025-02-16T12:40:58.050197,1.0,0.8,-1.5,0.7,50.02,31.6,239.2,72.7,118.0,53.9,134.0,180.8,125.5,297.7,168.6,234.3,False
2025-02-16T12:40:58.156267,2.0,1.5,1.5,0.9,50.01,36.8,240.9,80.3,149.6,65.4,145.3,156.6,97.5,225.0,89.0,230.1,False
2025-02-16T12:43:57.949915,0.0,7.6,-8.3,4.6,50.07,69.1,237.3,75.5,57.1,40.6,40.8,68.4,77.9,93.9,65.6,57.2,False
2025-02-16T12:43:58.052770,1.0,0.0,-6.8,2.7,50.08,31.7,239.0,108.1,36.2,68.8,13.3,30.4,127.9,42.4,86.9,153.1,False
2025-02-16T12:43:58.142343,2.0,1.5,-7.6,3.1,50.05,35.9,240.8,88.7,36.3,15.4,61.8,53.4,47.9,67.8,72.5,42.2,False
2025-02-16T12:46:57.953088,0.0,7.6,-3.8,4.0,50.04,69.5,236.6,89.3,111.3,24.2,42.0,32.5,45.0,60.5,44.4,112.8,False
2025-02-16T12:46:58.064883,1.0,1.5,-4.5,2.3,50.04,32.6,238.3,79.1,41.4,51.4,25.5,13.3,106.9,84.1,98.1,138.1,False
2025-02-16T12:46:58.198775,2.0,3.0,-6.1,3.1,50.03,37.9,240.2,79.1,26.7,15.4,59.7,49.4,72.5,40.9,48.8,64.5,False
2025-02-16T12:49:57.952499,0.0,0.0,-0.8,1.2,49.99,70.1,235.5,59.3,166.6,143.9,117.3,163.9,148.5,170.2,174.8,115.5,False
2025-02-16T12:49:58.067668,1.0,3.0,-3.0,1.6,50.01,32.3,237.4,87.3,67.2,34.8,61.9,60.5,52.1,168.2,100.6,173.4,False
2025-02-16T12:49:58.179633,2.0,2.3,-3.0,1.0,50.0,37.9,239.1,103.8,102.1,196.0,178.5,292.7,247.8,124.1,122.9,80.6,False
2025-02-16T12:52:57.953566,0.0,2.3,-1.5,0.6,49.97,69.8,236.3,68.0,165.1,295.7,75.4,155.1,134.0,36.0,181.4,333.9,False
2025-02-16T12:52:58.049779,1.0,2.3,0.0,1.0,49.98,34.2,238.0,41.3,42.0,16.4,68.9,36.0,53.1,67.0,20.5,70.3,False
2025-02-16T12:52:58.156903,2.0,1.5,-2.3,0.9,49.99,38.8,239.8,51.6,63.2,21.4,78.4,129.5,78.0,188.0,43.8,76.6,False
2025-02-16T12:55:57.954972,0.0,3.8,-3.8,1.9,49.95,70.2,235.9,97.8,260.5,151.0,114.7,43.4,101.3,172.5,244.0,176.6,False
2025-02-16T12:55:58.054972,1.0,0.0,-2.3,1.2,49.96,33.3,237.6,100.5,225.9,209.1,90.7,240.9,216.5,295.2,183.9,518.6,False
2025-02-16T12:55:58.146083,2.0,3.8,-1.5,1.7,49.95,38.6,239.5,93.0,103.2,138.5,140.0,49.7,147.3,148.0,161.7,211.0,False
2025-02-16T12:58:57.954409,0.0,0.8,-1.5,0.3,49.99,69.6,235.3,27.7,453.8,533.0,508.8,271.0,156.2,89.1,57.7,168.3,False
2025-02-16T12:58:58.068944,1.0,0.0,-3.0,0.9,49.99,33.5,237.0,110.0,93.4,250.3,223.1,142.1,352.7,234.4,253.0,229.4,False
2025-02-16T12:58:58.168095,2.0,1.5,-2.3,0.8,49.99,37.7,238.8,69.8,84.2,88.9,283.2,91.8,56.7,146.6,254.5,240.2,False
2025-02-16T13:01:57.956580,0.0,0.8,-1.5,0.6,50.02,70.8,235.4,30.7,134.5,147.1,132.0,68.4,73.6,149.5,136.8,106.6,False
2025-02-16T13:01:58.063232,1.0,1.5,-2.3,1.0,50.03,33.9,237.2,101.5,67.7,139.3,226.5,88.3,178.4,176.2,235.0,181.2,False
2025-02-16T13:01:58.175299,2.0,0.8,0.0,0.3,50.02,38.2,238.9,91.7,397.7,220.3,320.5,398.6,508.6,1398.1,743.0,634.6,False
2025-02-16T13:04:57.957428,0.0,0.8,3.0,1.1,50.02,69.0,235.8,61.6,179.6,65.3,100.4,73.4,95.4,104.3,189.4,177.8,False
2025-02-16T13:04:58.054960,1.0,0.0,-1.5,0.4,50.02,33.1,237.7,51.3,93.0,26.8,182.0,130.4,135.7,355.7,183.6,195.2,False
2025-02-16T13:04:58.139971,2.0,0.0,0.8,0.1,50.03,36.8,239.4,15.3,29.8,48.8,100.4,38.4,54.0,191.6,126.6,32.6,False
2025-02-16T13:07:57.959930,0.0,0.0,0.8,0.8,50.05,69.5,236.4,110.0,508.5,402.2,727.2,287.2,56.3,319.2,135.5,489.6,False
2025-02-16T13:07:58.075626,1.0,0.8,-1.5,0.4,50.03,32.8,238.3,79.2,117.4,214.2,293.6,407.6,315.7,302.9,410.8,274.9,False
2025-02-16T13:07:58.161864,2.0,0.0,-0.8,0.1,50.04,38.8,240.0,13.1,42.7,57.7,44.3,113.1,97.1,50.7,90.0,141.1,False
2025-02-16T13:10:57.960910,0.0,2.3,-3.0,1.5,49.99,68.7,236.5,96.9,233.8,336.2,367.3,193.3,143.6,115.2,204.3,131.8,False
2025-02-16T13:10:58.090828,1.0,0.8,-2.3,1.1,49.98,33.1,238.4,105.0,166.3,113.0,87.9,140.9,155.9,155.2,260.4,316.8,False
2025-02-16T13:10:58.223133,2.0,2.3,-1.5,1.1,49.98,38.0,240.2,110.0,103.5,217.7,112.3,376.9,237.1,238.7,165.0,88.0,False
2025-02-16T13:13:57.961784,0.0,0.0,0.8,0.4,50.01,70.4,236.6,22.8,53.3,71.5,120.3,107.0,169.7,52.5,95.0,167.6,False
2025-02-16T13:13:58.060293,1.0,1.5,-0.0,0.6,50.01,32.1,238.5,42.3,65.4,75.1,38.4,36.6,107.4,129.4,23.8,36.4,False
2025-02-16T13:13:58.142753,2.0,0.8,-0.8,0.4,50.01,36.8,240.1,37.2,101.5,81.3,201.6,166.0,215.5,166.9,52.1,214.5,False
2025-02-16T13:16:57.963836,0.0,1.5,3.0,1.4,50.0,68.6,236.6,61.6,123.1,178.2,77.7,103.4,29.4,129.4,85.5,25.4,False
2025-02-16T13:16:58.064526,1.0,0.8,-2.3,1.0,50.0,32.3,238.4,105.0,107.0,137.9,248.2,219.5,442.3,418.9,285.6,316.8,False
2025-02-16T13:16:58.185225,2.0,0.0,-2.3,1.0,50.0,34.6,240.0,48.6,79.2,37.2,149.4,108.2,139.9,27.7,89.3,85.2,False
2025-02-16T13:19:57.964580,0.0,2.3,-3.0,1.4,49.99,69.8,236.4,80.0,191.6,233.0,207.8,198.9,208.5,84.6,37.1,82.9,False
2025-02-16T13:19:58.072133,1.0,0.0,-3.0,1.3,50.0,32.2,238.3,109.4,121.7,92.7,193.9,174.8,159.7,223.7,219.9,235.7,False
2025-02-16T13:19:58.169265,2.0,1.5,3.0,1.4,49.99,38.6,240.0,45.9,44.0,45.0,62.6,84.0,86.8,55.7,37.6,97.6,False
2025-02-16T13:22:57.966735,0.0,2.3,-1.5,0.9,50.0,69.4,236.7,85.6,290.2,318.2,180.8,180.3,297.8,298.5,188.7,32.4,False
2025-02-16T13:22:58.076161,1.0,0.8,2.3,1.2,49.98,35.1,238.6,45.7,64.9,18.6,57.8,29.4,92.8,84.9,32.5,127.9,False
2025-02-16T13:22:58.183471,2.0,2.3,-2.3,1.3,50.0,38.3,240.4,110.0,75.7,42.1,94.3,149.8,271.2,73.5,148.4,35.2,False
2025-02-16T13:25:57.967868,0.0,0.0,-0.0,0.0,50.0,69.2,236.7,13.4,586.2,743.6,530.9,338.6,447.1,1032.2,458.3,154.3,False
2025-02-16T13:25:58.061881,1.0,1.5,-0.0,0.6,50.0,32.4,238.6,30.6,22.5,67.1,31.5,25.2,75.0,123.2,19.5,206.2,False
2025-02-16T13:25:58.153115,2.0,0.8,0.8,0.4,49.99,37.1,240.4,49.4,31.8,46.7,109.3,59.2,266.0,185.3,251.4,264.6,False
2025-02-16T13:28:57.969258,0.0,1.5,-0.8,0.7,50.01,68.1,236.6,40.3,193.7,208.2,87.5,41.6,146.7,270.9,189.6,39.3,False
2025-02-16T13:28:58.064508,1.0,0.8,-2.3,1.0,50.0,31.7,238.6,110.0,186.9,194.5,101.2,141.2,344.9,187.6,126.4,553.1,False
2025-02-16T13:28:58.177143,2.0,3.0,0.0,1.3,50.01,37.1,240.4,103.8,65.8,34.1,83.5,16.8,233.4,125.7,117.1,89.8,False
2025-02-16T13:31:57.969811,0.0,0.0,0.0,0.5,50.01,69.0,237.2,43.7,191.3,179.9,132.3,102.9,156.4,378.6,260.1,261.1,False
2025-02-16T13:31:58.060714,1.0,0.8,-0.8,0.3,50.0,32.3,239.1,55.7,195.8,227.2,113.2,245.1,757.4,306.2,331.2,887.1,False
2025-02-16T13:31:58.150981,2.0,0.0,0.0,0.3,50.01,37.8,240.9,42.9,73.4,93.0,83.3,155.9,186.0,190.7,136.7,377.7,False
2025-02-16T13:34:57.970810,0.0,0.8,-1.5,1.2,49.99,68.8,236.7,106.9,209.0,219.3,256.9,362.6,188.0,313.9,357.1,375.4,False
